,Index,Dish,Instructions,Ingredients
5788,454174,Blueberry Muffins,"""Cream together egg, shortening and sugar."", ""Add milk, flour and berries."", ""Mix well, then fill muffin pan 1/2 full."", ""Bake at 375\u00b0 or until brown.""","""egg"", ""sugar"", ""milk"", ""shortening"", ""flour"", ""blueberries"""
5789,2009314,Marinated Ochazuke with Leftover Sashimi,"""Combine all the ingredients."", ""Add the sashimi and lightly rub in the flavor."", ""Transfer to an airtight storage container."", ""Place in the refrigerator and let sit overnight to marinate."", ""It should develop this delicious-looking coloring as shown."", ""Prepare your choice of dashi."", ""Feel free to use dashi stock, or stock made by dissolving your choice of dashi stock granules."", ""Add 1 teaspoon of soy sauce and boil."", ""Fill the individual bowls with rice, place the amberjack on top, then pour the hot dashi stock over it."", ""The surface of the fish should turn pale and cooked to rare."", ""Top with shiso or your choice of condiments, and it's complete.""","""Amberjack"", ""White sesame seeds"", ""Soy sauce"", ""Sake"", ""Mirin"", ""Sesame oil"", ""Soy sauce"", ""rice"""
5790,1100415,""" Skinny"" Meatloaf","""Preheat oven to 350\u00b0F; coat a broiler pan with nonstick spray and line the bottom of the pan with foil for easy clean up."", ""Combine the ground meats, crumbs, parsley, onion,egg whites, milk, Worcestershire, salt and pepper in a bowl, using your hands to mix. Transfer the mixture to the prepared pan, shaping it into a 9x5\"" loaf."", ""Stir ketchup, mustard, and brown sugar together in a bowl, then spoon on top of the meatloaf. Bake until meatloaf reaches 160\u00b0F on an instant read thermometer, about 1 hour. Let rest at least 5 minutes before slicing."", ""Mushroom Sherry Sauce:"", ""Fry bacon in a skillet over medium heat until crisp, about 5 minutes. Transfer bacon to a paper towel-lined plate and return pan with drippings to the burner. Add mushrooms, shallots, and saute until mushrooms are browned, about 5 minutes, stirring occasionally. Stir in flour and tomato paste; cook 1 minute."", ""Deglaze with sherry and simmer until evaporated. Gradually add brother, scraping up brown bits from the bottom of the pan. bring to a simmer and cook until slightly thickened, about 5 minutes. Finish sauce with reserved bacon, butter, vinegar, salt, and pepper. Serve with meatloaf.""","""ground sirloin"", ""ground turkey"", ""ground pork"", ""breadcrumbs"", ""parsley"", ""onion"", ""egg whites"", ""milk"", ""Worcestershire sauce"", ""salt"", ""Sweet"", ""ketchup"", ""yellow mustard"", ""brown sugar"", ""Mushroom Sherry Sauce"", ""bacon"", ""mixed mushrooms"", ""shallot"", ""flour"", ""tomato paste"", ""sherry"", ""chicken broth"", ""unsalted butter"", ""sherry wine vinegar"", ""salt"""
5791,2209416,Boysenberry Truffle Brownies Recipe,"""BROWNIE:Preheat oven to 350 degrees F. Lightly butter and flour a 9-inch square pan."", ""Sift together flour, baking soda and salt."", ""Set aside."", ""Place 6 ounces chocolate and margarine in a medium bowl."", ""Heat together in microwave, stirring to combine."", ""Let cold 10 min till tepid."", ""In a medium bowl, whisk together sugar and Large eggs, just till blended."", ""Add in chocolate mix and vanilla, whisking to combine."", ""Using a wooden spoon, blend in flour mix, just till blended."", ""Carefully mix in Boysenberries."", ""Spread batter into prepared pan and bake 25-30 min till tester inserted in the center comes out with a moist crumb."", ""Let cold completely on a wire rack."", ""FROSTING:Place chocolate and preserves in medium metal or possibly glass bowl."", ""ln a small saucepan, bring heavy cream to a low simmer."", ""Pour over chocolate and preserves."", ""Let stand 1 minute, then stir to heat chocolate completely."", ""Place bowl in a larger bowl which has been filled with ice."", ""Whisk periodically, till frosting has thickened to spreading consistency (soft peaks will form when lifted with spatula)."", ""Spoon 1/2 c. frosting into a pastry tube fitted with star tip; set aside."", ""Spread remaining frosting proportionately onto brownies."", ""Cut brownies into"", ""12 squares."", ""Pipe each brownie with a rosette of frosting."", ""Top each rosette with a fresh raspberrry."", ""Chill till hard, approximately 30"", ""min."", ""Store covered in refrigerator."", ""Freezes well.""","""All-purpose"", ""Baking soda"", ""Salt"", ""Margarine"", ""Chocolate"", ""sugar"", ""eggs"", ""Vanilla"", ""Red Boysenberries"", ""Heavy whipping cream"", ""Chocolate"", ""Preserves"", ""Boysenberries"""
5792,1413764,Buckwheat Belgian Waffles,"""Sprinkle yeast and 1 tbsp. sugar into a medium bowl; pour 1/2 cup warm (110\u00b0) water over them. Stir and let stand until foamy, about 8 minutes. Add milk, butter, and flours, then whisk until smooth. Cover bowl with plastic wrap and let rise overnight on the counter (for slightly sour waffles) or chill (for sweet waffles)."", ""In the morning, preheat oven to 200\u00b0 and set 6 plates on a rack. Preheat a Belgian or regular waffle iron. Add eggs, baking soda, salt, and vanilla to batter, then whisk until smooth. Coat hot waffle grids with cooking-oil spray. Ladle 3/4 to 1 cup batter (or amount that waffle iron maker directs) onto hot iron and cook until nicely browned and crisp, 4 to 5 minutes. Transfer waffle directly to oven rack. Repeat with remaining batter. (If oven gets too full, remove plates.)"", ""Meanwhile, in a small bowl, combine remaining 2 tbsp. sugar and the cinnamon."", ""Break waffles into sections and divide among the warm plates. Serve with bananas, maple syrup, cinnamon sugar, and yogurt if you like."", ""Note: Nutritional analysis is per serving.""","""active dry yeast"", ""sugar"", ""warm"", ""butter"", ""flour"", ""buckwheat flour"", ""eggs"", ""baking soda"", ""salt"", ""vanilla"", ""Cooking-oil spray"", ""cinnamon"", ""bananas"", ""warm maple"", ""vanilla yogurt"""
5793,533901,Apple Breakfast Pie,"""Combine Bisquick, egg, milk, 1/2 cup sugar, oil, nuts and raisins."", ""Pour into buttered 9-inch pan."", ""Top with apples. Combine 2 tablespoons sugar, cinnamon and butter; sprinkle on top. Bake at 375\u00b0 until done.""","""Bisquick"", ""egg"", ""sugar"", ""milk"", ""oil"", ""cinnamon"", ""raisins"", ""apples"", ""butter"", ""nuts"", ""sugar"""
5794,1641888,Chocolate & Peanut Butter Mug Cake,"""Place the butter and chocolate in a 11/2 cup mug and microwave for 10-20 seconds until melted."", ""Add the egg and milk to the mug and beat with a fork until thoroughly combined."", ""Add the sugar, flour, baking powder, and salt, and beat again until smooth, then float a tablespoon of peanut butter on top of the cake mixture but don't stir-this will sink down as the cake cooks to create a lovely gooey peanut butter center."", ""Cook in the microwave for 2 minutes 20 seconds @ 600W, 2 minutes @ 800W, or 1 minute 40 seconds @ 1000W."", ""While the cake is still warm, top with the remaining peanut butter. Wait for it to melt slightly and then sprinkle with peanuts, curl up on the sofa, and enjoy.""","""butter"", ""chocolate"", ""egg"", ""milk"", ""sugar"", ""all-purpose"", ""baking powder"", ""salt"", ""smooth peanut butter"", ""peanuts"""
5795,1704552,Chicken Cheddar Pie,"""In a bowl, combine 2 c cheese, broccoli, chicken, and onion; spread int a greased 10 inch pie plate."", ""In a small bowl, beat the milk, eggs, Bisquick, salt and pepper until smooth."", ""Pour over broccoli mixture."", ""Bake at 400 degrees for 30-35 minutes or until a knife inserted in the center comes out clean."", ""Sprinkle with the remaining cheese."", ""Let stand 5 minutes or until cheese is melted.""","""cheddar cheese"", ""broccoli"", ""chicken"", ""onion"", ""milk"", ""eggs"", ""Bisquick"", ""salt"", ""pepper"""
5796,1869233,Chicken Cordon Bleu With Mushroom Gravy Recipe,"""Preheat oven to 350 degrees."", ""Heat oil in skillet."", ""Remove fat from chicken."", ""Lb."", ""chicken to flatten."", ""Place 1 piece each ham and Swiss cheese on chicken."", ""Roll chicken and place 2 or possibly 3 toothpicks in chicken to hold together."", ""Place chicken into beaten egg, then roll in bread crumbs."", ""Brown in oil on all sides."", ""Remove chicken from skillet and place in baking pan."", ""Pour 1 c. wine over chicken."", ""Bake at 350 degrees for 20 to 30 min."", ""Remove chicken from pan over burner on top of stove on low heat and add in Cheddar cheese and mushroom soup to wine mix, stirring till warm and smooth."", ""Pour over chicken to serve."", ""Approximately 4 servings.""","""skinless"", ""ham"", ""Swiss cheese"", ""bread crumbs"", ""egg"", ""white wine"", ""vegetable oil"", ""cream of mushroom soup"", ""grated sharp"""
5797,864780,Green Bean Casserole,"""Mix all ingredients except French fried onions and put in casserole dish."", ""Cook for 20 minutes at 350\u00b0."", ""Sprinkle Durkee French fried onions to cover top."", ""Bake additional 10 minutes.""","""rice"", ""Cheddar cheese"", ""green beans"", ""onion"", ""cream of mushroom soup"", ""onions"""
5798,568758,German Potato Salad,"""Cut bacon into 1-inch pieces."", ""Cook in skillet until crisp. Remove pieces from skillet and drain."", ""Pour off drippings, reserving 2 tablespoons to return to skillet."", ""Blend in sugar, onion, flour and seasonings."", ""Gradually add water and vinegar. Heat to boiling, stirring constantly."", ""Boil 1 minute."", ""Add potatoes and bacon pieces."", ""Cook over low heat, stirring occasionally 5 minutes, or until heated through."", ""Makes 4 to 6 servings.""","""bacon"", ""sugar"", ""onion"", ""flour"", ""salt"", ""celery"", ""pepper"", ""water"", ""cider vinegar"", ""red potatoes"""
5799,638903,Fruit Pizza,"""Spray pizza pan with Pam."", ""Line with cookie dough, patted to fit pan."", ""Bake according to directions."", ""Cool.""","""vanilla cookie"", ""cream cheese"", ""sugar"", ""vanilla"", ""pineapple"", ""bananas"", ""kiwi"", ""strawberries"", ""coconut"", ""pecans"""
5800,5799,Grilled Lemon Pepper Shrimp,"""Note:"", ""Will also need 6 to 7 skewers.""","""shrimp"", ""lemon pepper"", ""bacon"", ""lemon juice"""
5801,2115624,Fried Okra,"""Wash and trim okra and slice 1/2inch thick."", ""Heat oil in deep fryer or skillet to 350."", ""Mix buttermilk and egg together."", ""Mix flour and salt together."", ""Dip the okra into buttermilk and egg mixture, then the flour mixture."", ""Deep fry until golden brown, about three minutes."", ""Let drain on paper towels.""","""buttermilk"", ""egg"", ""flour"", ""salt"""
5802,2047271,Chicken Caesar Salad Pizza,"""Position an oven rack on the 2nd lowest level; place a baking stone on the rack."", ""Position another rack in the upper third of the oven; preheat oven to 500."", ""In a bowl, toss the shredded chicken with 1/4 cup Caesar dressing and the garlic; set aside."", ""Coat pizza pan with cooking spray."", ""Lay pizza dough on prepared pan and gently stretch the dough into a 14-inch round."", ""Spread the remaining 1/4 cup Caesar dressing over the dough, leaving a 1-inch border."", ""Place the chicken mixture evenly over the sauce."", ""Scatter the provolone and mozzarella cheese over the top."", ""Put the pizza in the oven on the upper rack; bake 10 minutes or until the crust is crisp and golden brown."", ""Using a pizza peel, lift the pizza off the pan and place the crust directly on the baking stone; remove the pan from the oven."", ""Bake the pizza until the bottom of the crust is golden brown (about 3 minutes)."", ""Using the pizza peel, remove the pizza from the oven and transfer to a cutting board."", ""Sprinkle the lettuce over the pizza and arrange tomato slices evenly over the lettuce."", ""Sprinkle the parmesan shavings over the top."", ""Slice into wedges and serve immediately.""","""chicken breast"", ""caesar salad dressing"", ""garlic"", ""vegetable oil cooking spray"", ""pizza dough"", ""provolone cheese"", ""mozzarella cheese"", ""romaine lettuce leaves"", ""roma tomato"", ""parmesan cheese"""
5803,1556113,Baked Oatmeal,"""Mix all ingredients together in a large bowl. Pour into a 13 x 9-inch baking pan. Bake at 350\u00b0 for 40-50 minutes or until an inserted toothpick comes out clean."", ""Optional: add as much as you like of raisins, apples, cranberries, etc.""","""Eggs"", ""Applesauce"", ""Milk"", ""Baking Powder"", ""Brown Sugar"", ""Cinnamon"", ""Vanilla"", ""Salt"""
5804,772545,Baked Beans,"""Mix all together;"", ""place 4 strips of bacon on top."", ""Cook 45 minutes at 350\u00b0.""","""pork"", ""brown sugar"", ""dry mustard"", ""onion"", ""catsup"""
5805,1816216,Chicken with Rosemary and Lemon Salt,"""Preheat oven to 450 degrees F if you have no convection fan, or to 425 degrees F if you have a convection fan."", ""Rinse the chickens inside and out and dry well."", ""Make the salt: In a bowl, combine the lemon zest, rosemary, salt, and pepper, mixing well."", ""Rub the chicken all over with the olive oil, and then rub with 3 tablespoons of the seasoned salt."", ""(Reserve the remaining salt for another use.)"", ""Tuck the rosemary sprigs and lemon chunks into the chicken cavity."", ""You don't need to truss the chicken."", ""Place the bird on a rack in a roasting pan and roast for 15 minutes."", ""Reduce the oven temperature by 75 degrees F and continue roasting until the juices run clear when a thigh is pierced with a skewer, about 50 to 55 minutes longer."", ""Transfer the chicken to a platter and let rest for at least 10 minutes before carving.""","""chickens"", ""extra-virgin olive oil"", ""rosemary sprigs"", ""lemons"", ""lemon zest"", ""fresh rosemary"", ""salt"", ""Freshly ground black pepper"""
5806,75844,Pizza Casserole,"""Preheat oven to 400\u00b0."", ""In skillet brown ground beef; drain. Add Sloppy Joes mix and tomato paste; cook as directed on Sloppy Joes mix package."", ""Unroll dough; place one unrolled can of dough in greased 13 x 9 x 2-inch pan."", ""Press to seal perforations."", ""Pour ground beef mixture over dough."", ""Layer both cheeses over ground beef mixture."", ""Unroll second can of dough."", ""Press to seal perforations."", ""Place over filling."", ""Bake 20 to 30 minutes."", ""Makes 8 servings.""","""ground beef"", ""Joes"", ""tomato paste"", ""crescent dinner"", ""Mozzarella cheese"", ""Cheddar cheese"""
5807,717976,Chunky Tomato Soup,"""Mix all together and heat.""","""tomato soup"", ""milk"", ""tomatoes"", ""margarine"", ""salt"""
5808,1216027,Asian Beef Salad,"""Marinate the flank steak overnight in your choice of teriyaki or asian marinades."", ""Broil flank steak and slice thinly."", ""Arrange spinach on plates, then top with carrots, bean sprouts and steak."", ""Drizzle dressing and sprinkle cashews on top. Enjoy!""","""Spinach"", ""cucumber"", ""carrots"", ""bean sprouts"", ""lean beef"", ""cashews"", ""light asian vinaigrette"""
5809,234930,Ginger Chicken,"""Marinate chicken for 1/2 hour in 1 teaspoon potato flour, 2 teaspoons thin soy sauce, 1/4 teaspoon ginger powder, 1/2 teaspoon sugar and 1 teaspoon oil."", ""Stir-fry chicken with 1 tablespoon oil for 1 minute; remove from wok."", ""Combine 1 tablespoon oil, onion, bamboo shoots and mushrooms in wok."", ""Season with 1 teaspoon soy sauce, 1 teaspoon sugar, lemon grass, water and salt."", ""Cover and cook over low heat for 3 to 5 minutes."", ""Add chicken and thicken with potato flour.""","""chicken"", ""potato flour"", ""thin soy sauce"", ""ginger powder"", ""sugar"", ""oil"", ""onions"", ""bamboo shoots"", ""button mushrooms"", ""lemon grass"", ""water"", ""salt"""
5810,332289,Methodist Cornbread,"""Preheat oven to 400\u00b0."", ""Line an iron skillet (bottom and sides) with raw bacon."", ""Combine ingredients and pour into skillet."", ""Bake 15 minutes at 400\u00b0 and then 15 minutes at 450\u00b0."", ""Pour off any accumulated fat from bacon.""","""soda"", ""cream of tartar"", ""oil"", ""egg"", ""cornmeal"", ""flour"", ""buttermilk"", ""sugar"""
5811,1526606,Chicken Veggie Salad Plate,"""In a small bowl, combine the mayonnaise, yogurt and salt. Stir in the chicken, grapes and celery. Cover and refrigerate for at least 1 hour."", ""Arrange the mushrooms, broccoli, cucumber and peas on a lettuce-lined plate. Top with chicken salad and pecans.""","""mayonnaise"", ""plain yogurt"", ""salt"", ""chicken"", ""green grapes"", ""celery"", ""fresh mushrooms"", ""broccoli floret"", ""cucumber"", ""sugar snap peas"", ""pecan halves"""
5812,1691882,Mr. Bingle Ice Cream Cone Treats,"""Using the icing as glue, place three squirts of icing up one side of the cone, centered evenly between the rim of the cone and the point."", ""Place a jelly bean into the icing, set aside and allow to dry."", ""~NOTE~ Cones can be prepared one day in advance to allow the icing to dry completely and for easy assembly just before serving."", ""Place one large scoop of ice cream on to each individual serving plate."", ""Top the ice cream with a prepared cone."", ""Place two blue M&M's in the ice cream for the eyes."", ""Place one red M&M in the ice cream for the nose."", ""At this point you should serve immediately or place in the freezer for no more than two hours."", ""If you place these in the freezer, allow to sit ar room temperature for 5-10 minutes before serving.""","""sugar"", ""cake icing"", ""beans"", ""vanilla ice cream"", ""chocolate"", ""chocolate"""
5813,252949,Salsa,"""Dip tomatoes in boiling water to remove skins."", ""Core and chop tomatoes into a large saucepan."", ""Combine all the ingredients. Bring to a boil, stirring often."", ""Reduce heat and simmer 30 minutes or to desired thickness."", ""Immediately fill hot pint jars with salsa and leave 1/2-inch headspace."", ""Make sure all air bubbles are out of jars."", ""Wipe jar tops, put on hot lids and seal. Process in boiling water bath for 15 minutes.""","""tomatoes"", ""onion"", ""peppers"", ""cider vinegar"", ""salt"""
5814,1811853,Barack Obama Pizza Burger,"""Preheat the oven to 350."", ""Make the butter: Remove the papery outer layer from the head of garlic and slice off the top to expose the cloves slightly."", ""Wrap the garlic in foil and roast in the oven until soft, about 45 minutes."", ""Cool slightly, then squeeze the roasted pulp into a bowl."", ""Whip with the butter, parsley, vinegar and 1/2 teaspoon salt; set aside."", ""Remove the papery outer layer from the head of garlic and slice off the top to expose the cloves slightly."", ""Wrap the garlic in foil and roast in the oven until soft, about 45 minutes."", ""Cool slightly, then squeeze the roasted pulp into a bowl."", ""Whip with the butter, parsley, vinegar and 1/2 teaspoon salt; set aside."", ""Make the burgers: Preheat a grill or grill pan to medium-high."", ""Season the beef patties generously with salt and pepper and grill, about 3 minutes per side for medium-rare, turning once."", ""Move the burgers to the cooler side of the grill (or reduce the heat on the stove) and top each with some marinara sauce and 2 slices cheese."", ""Spread the cut sides of each roll with some of the garlic butter and place facedown on the grill."", ""Cover and cook until the cheese melts and the buns are toasted, 1 to 2 minutes."", ""Place a burger on each roll bottom; add some chopped basil and the roll top."", ""Serve with more marinara sauce, if desired."", ""Photograph by Tina Rupp""","""garlic"", ""unsalted butter"", ""parsley"", ""champagne vinegar"", ""Kosher salt"", ""beef patties"", ""Kosher salt"", ""marinara sauce"", ""thin slices fresh mozzarella cheese"", ""crusty rolls"", ""fresh basil"""
5815,944091,Nabak Kimchi (Water Kimchi),"""Place cabbage in a large bowl; sprinkle salt and red pepper powder on top. Toss well and let stand until cabbage looks wilted, about 1 hour."", ""Bring water and rice flour to a boil in a large pot. Simmer for 5 minutes. Remove from heat and let cool, 10 to 15 minutes."", ""Combine onion, Asian pear, and green onions in a half-gallon jar. Add wilted cabbage, garlic, ginger, and sweetener. Pour water mixture on top. Seal jar and keep at room temperature to ferment for 1 to 2 days. Place in the refrigerator.""","""cabbage"", ""salt"", ""Korean red pepper"", ""water"", ""sweet rice flour"", ""yellow onion"", ""pear"", ""green onions"", ""garlic"", ""ginger"", ""Splenda"""
5816,1615075,Toreados Con Jalapeno,"""Wash Jalapeno peppers and remove stems. Slice them length wise and set aside."", ""Heat olive oil in a large skillet, lightly sprinkle garlic powder and seasoning salt over the heating oil."", ""Place the peppers in the pan with the insides facing up and cover the pan"", ""Let them cook for approximately 12 minutes or until brown & turn them over"", ""Cover the pan and let the other side cook for approx 5 to 8 more minutes or until brown."", ""Remove and cool on paper towel""","""jalapeno peppers"", ""garlic"", ""salt"", ""olive oil"""
5817,960494,"Homemade ""Suddenly Salad""","""In large bowl, mix mayo, dressing mix, bacon bits, shredded carrots and onion powder. Chill while making the rest."", ""Cook pasta according to pkg. directions for pasta using the shortest alotted time. (Or cook al dente.)."", ""Drain and cool."", ""Fold in pasta well. Fold in peas last, carefully."", ""Chill for several hours."", ""Serve chilled or room temperature."", ""Refresh salad if needed with a tiny bit of mayo, but it usually doesn't need it."", ""Garnish top with more bacon bits/pieces.""","""shell pasta"", ""baby carrots"", ""frozen peas"", ""mayonnaise"", ""bacon bits"", ""onion powder"""
5818,1852291,Slow-Cooker Sausage Stuffing,"""Lightly grease the bottom and sides of a 6-quart slow cooker with butter."", ""Toss the stale French bread, butter, onions, carrots, celery, thyme and 1 teaspoon each salt and pepper in the slow cooker."", ""Pour the chicken broth over the bread mixture and toss to coat."", ""Use your hands to tear teaspoon-size pieces of the Italian sausage and put them directly on top of the bread mixture."", ""The sausage should cover most of the stuffing."", ""Cover the slow cooker and cook on low until the sausage is cooked through and the vegetables are tender, about 4 hours."", ""Remove the lid and gently stir the sausage into the stuffing."", ""Season to taste with additional salt and pepper."", ""Transfer to a shallow serving dish and garnish with the chopped parsley."", ""Serve hot.""","""unsalted butter"", ""crusty"", ""onion"", ""carrots"", ""stalks celery"", ""thyme"", ""Kosher salt"", ""chicken broth"", ""sausage"", ""parsley"""
5819,1856051,Chicken Salsa Pizza,"""Preheat oven to 450 degrees."", ""Spread salsa over pizza crust."", ""Top with chicken, cheese and olives."", ""Bake 8 to 10 minutes or until cheese is melted.""","""chunky salsa"", ""packagemesquite"", ""cheddar cheese"", ""ripe olives"", ""pizza crusts"""
5820,234787,Kahlua,"""Put water and sugars in saucepan."", ""Boil 5 minutes."", ""Cool 5 minutes."", ""Add coffee with wire whisk."", ""Cool completely."", ""Add vodka and vanilla."", ""Age 2 to 5 days."", ""Makes 5 1/2 cups.""","""water"", ""brown sugar"", ""sugar"", ""instant coffee"", ""vodka"", ""vanilla"""
5821,1522971,Pumpkin Patch Biscuits,"""In a large bowl, combine the flour, brown sugar, baking powder, salt and baking soda. Cut in 1/2 cup butter until mixture resembles coarse crumbs. Combine pumpkin and buttermilk; stir into crumb mixture just until moistened."", ""Turn onto a lightly floured surface; knead 8-10 times. Pat or roll out to 1-in. thickness; cut with a floured 2-1/2-in. biscuit cutter. Place 1 in. apart on a greased"", ""."", ""Bake at 425\u00b0 for 18-22 minutes or until golden brown. Melt remaining butter; brush over biscuits. Serve warm.""","""flour"", ""brown sugar"", ""baking powder"", ""salt"", ""baking soda"", ""cold butter"", ""pumpkin"", ""buttermilk"""
5822,729095,Lemon Bars,"""Heat oven to 350\u00b0. In dry bowl, mix cake mix and pie filling together until creamy. Pour into a 9 x 13 pan and bake 20 minutes. Cool on rack. When still warm, sprinkle with powdered sugar.""","""lemon pie filling"", ""angel food cake mix"""
5823,1400491,Fig & Roasted Onion Salad,"""Cut onions in large chunks. Toss with one tablespoon olive oil, one tablespoon balsamic, pinch of brown sugar, salt and pepper."", ""Roast onions in 350 degree oven for 45-60 minutes or until soft and slightly carmelized. Remove to cool."", ""Cut figs in half. Toss them with roasted onions, remaining oil and vinegar, chopped herbs and feta.""","""Onions"", ""fresh figs"", ""brown sugar"", ""balsamic vinegar"", ""olive oil"", ""mint"", ""fresh basil"", ""handful"""
5824,1534168,Easy Banana Bread,"""In a large bowl, cream shortening and sugar. Beat in eggs. Combine the flour, baking powder, baking soda and salt; add to creamed mixture alternately with bananas, beating well after each addition. Pour into a greased 8x4-in. loaf pan."", ""Bake at 350\u00b0 for 50-55 minutes or until a toothpick inserted in the center comes out clean. Let stand for 10 minutes before removing from pan; cool on a wire rack.""","""shortening"", ""sugar"", ""eggs"", ""flour"", ""baking powder"", ""baking soda"", ""salt"", ""mashed ripe bananas"""
5825,2016057,Disappearing Salad,"""Prepare the dressing: Heat the salad oil in a skillet."", ""Add the sesame seeds and brown."", ""Add the remaining dressing ingredients and mix well."", ""Transfer to a jar, cover, and refrigerate for several hours."", ""Shake well before using."", ""Makes 1 cup."", ""For the salad: Place the spinach in a salad bowl."", ""Top the spinach with the pineapple and garnish it with the bacon, egg, and green onion."", ""Just before serving the salad, add the dressing and toss it lightly.""","""pineapple"", ""torn spinach leaves"", ""bacon"", ""eggs"", ""green onion"", ""salad oil"", ""sesame seeds"", ""pineapple juice"", ""white wine vinegar"", ""garlic salt"", ""ground ginger"""
5826,1491520,Tamale Veggie Pie,"""In a small nonstick skillet coated with cooking spray, cook onion in oil until tender. Add garlic; cook 1 minute longer. Transfer to a large bowl. Drain tomatoes, reserving 2 tablespoons juice; add tomatoes and juice to onion mixture."", ""Stir in the beans, cheese, chiles, jalapeno, cumin and chili powder. Transfer to an 8-in. square baking dish coated with cooking spray."", ""For topping, in a small bowl, combine the flour, cornmeal, baking powder, baking soda and salt. Whisk together the egg, yogurt and butter; stir into dry ingredients just until moistened. Spoon over filling; gently spread to cover top."", ""Bake, uncovered, at 375\u00b0 for 20-25 minutes or until filling is bubbly and a toothpick inserted into topping comes out clean.""","""onion"", ""canola oil"", ""garlic"", ""tomatoes"", ""pinto beans"", ""cheddar cheese"", ""green chiles"", ""pepper"", ""ground cumin"", ""chili powder"", ""flour"", ""yellow cornmeal"", ""baking powder"", ""baking soda"", ""salt"", ""egg"", ""plain yogurt"", ""butter"""
5827,1607758,Easy Scallion Strata ,"""For full instructions, please visit http://p3bgirl.com/2016/01/31/sustainable-entertaining-on-the-cheap/""","""eggs"", ""cream"", ""scallions"", ""cheese"", ""bread"", ""salt"""
5828,117928,Sausage Balls,"""Mix well. Roll into small balls. Bake at 375\u00b0 for 15 minutes. May be frozen. When ready to serve, thaw about 45 minutes and reheat.""","""Bisquick"", ""sausage"", ""Cheddar cheese"""
5829,475599,Biegnet,"""Beat egg whites; add salt, baking powder, vanilla extract, sugar, margarine and milk."", ""Mix in flour until dough can be rolled without sticking to roller."", ""Roll dough until 1/8-inch thick."", ""Cut dough into 2-inch squares and cook in hot oil."", ""Turn the biegnets over as they rise in the oil and remove when amber in color. Cover the biegnets with powdered sugar and serve for breakfast with coffee or hot chocolate.""","""egg whites"", ""salt"", ""sugar"", ""baking powder"", ""margarine"", ""vanilla extract"", ""milk"", ""flour"", ""canola oil"""
5830,682211,Red Cabbage,"""Wash cabbage."", ""Remove outer leaves and core."", ""Shred very fine in a heavy saucepan or kettle."", ""Melt the butter with sugar."", ""Mix in shredded cabbage, grated apple, jelly and vinegar."", ""Blend thoroughly."", ""Simmer and stir 10 minutes."", ""Add 1/4 cup water at a time and let it evaporate each time."", ""Cook and stir frequently for 30 minutes.""","""red cabbage"", ""butter"", ""sugar"", ""sour apple"", ""red currant"", ""vinegar"", ""water"""
5831,1914282,Stuffed spaghetti Bread,"""Thaw frozen bread, then let set out for 3 hrs at room temp"", ""Roll out dough on sprayed counter or on parchment paper...should be like 17 inches long and 14 inches wide"", ""Cover with plastic wrap for 15 mins"", ""Start boiling noodles and cooking hamburger/Itilian Sausage or how ever desired"", ""Pre heat oven 350"", ""Place Spaghetti in middle of dough and long ways so thetes about5 inches away from sides and end"", ""Then cut dough 1 and half inches on sides all the way up and braid up and tuck in.. You will see certian spots that show speg."", ""Then brush egg white on top"", ""Add parmesian, garlic powder and parsley"", ""Put in oven for 35 mins until golden""","""Rhoades loaf bread"", ""onion"", ""Mozzarella cheese"", ""Parsley"", ""Parmesan"", ""Egg"", ""Garlic"""
5832,862631,Strawberry Dessert,"""Dissolve gelatin in hot water."", ""Drain berries."", ""Add water to juice to measure 1 1/2 cups."", ""Add to gelatin."", ""Chill until partially set."", ""Whip until fluffy."", ""Fold in Cool Whip and berries. Fold in cake."", ""Pour into shallow pan."", ""Chill until firm."", ""This will make 2 large pans.""","""strawberry gelatin"", ""water"", ""frozen strawberries"", ""angel food cake"""
5833,86659,Fruited Butter,"""Mix well and spread on muffins, crackers, breads, bagels, etc.""","""butter"", ""cream cheese"", ""preserves"", ""liquor"""
5834,1600809,Orange Ginger Chicken,"""Using a microplane or the smallest hole on a box grater zest one medium to large orange, do not over zest or zest into the white layer of the orange as its bitter. Once you zested, take a knife and chop the zest even finer. Next mince your garlic and ginger and place aside."", ""Using a small bowl combine with a whisk the soy, orange juice, rice vinegar, sriracha, brown sugar, honey and white pepper"", ""Add to bowl the orange zest, ginger and garlic and whisk so all ingredients are well combined."", ""Place chicken in a large Ziploc bag and cover with about 1/2 cup of marinade. Place sealed Ziploc bag and remaining marinade in refrigerator for 1-3 hours."", ""Remove chicken from Ziploc bag and discard marinade. Using a large skillet or wok heat over high heat and add oil. Depending on how much chicken you plane to cook you make have to do in batches."", ""Cook over medium-high for 5-6 minutes or until chicken is golden brown and reaches an internal temperature of 165 degrees."", ""Remove from heat and cover. using a small sauce pan over medium-high; add remaining marinade and heat to boiling."", ""In a small bowl, whisk cornstarch and 1 tablespoon water, get rid of as many clumps as possible, then while whisking add to marinade, and boil for another 1-2 minute."", ""Add sauce to chicken and cook for a minute or until heated through. Serve over rice or quinoa, top with sliced green onions.""","""chicken"", ""orange juice"", ""rice vinegar"", ""soy sauce"", ""honey"", ""fresh ginger"", ""garlic"", ""light brown sugar"", ""orange zest"", ""olive oil"", ""ground white pepper"", ""cornstarch"", ""green onions"""
